MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

initres =

   8.205185413112872

Starting parallel pool (parpool) using the 'local' profile ...
connected to 20 workers.
Elapsed time is 47.017535 seconds.
Elapsed time is 46.814101 seconds.
Elapsed time is 45.412156 seconds.
Elapsed time is 45.236245 seconds.
Elapsed time is 47.864625 seconds.
Elapsed time is 46.395645 seconds.
Elapsed time is 43.596804 seconds.
Elapsed time is 39.038425 seconds.
Elapsed time is 42.630764 seconds.
Elapsed time is 43.904062 seconds.
Elapsed time is 42.853870 seconds.
Elapsed time is 42.205527 seconds.
Elapsed time is 39.845589 seconds.
Elapsed time is 37.276768 seconds.
Elapsed time is 35.325026 seconds.
Elapsed time is 37.116295 seconds.
Elapsed time is 32.362346 seconds.
Elapsed time is 41.959093 seconds.
Elapsed time is 43.446450 seconds.
Elapsed time is 40.507310 seconds.
Elapsed time is 42.348875 seconds.
Elapsed time is 45.042520 seconds.
Elapsed time is 45.653590 seconds.
Elapsed time is 46.761425 seconds.
Elapsed time is 48.074703 seconds.
Elapsed time is 49.422201 seconds.
Elapsed time is 45.944302 seconds.
Elapsed time is 45.523780 seconds.
Elapsed time is 43.089807 seconds.
Elapsed time is 33.721502 seconds.
Elapsed time is 37.669872 seconds.
Elapsed time is 40.381718 seconds.
Elapsed time is 42.729085 seconds.
Elapsed time is 42.692233 seconds.
Elapsed time is 39.095152 seconds.
Elapsed time is 41.197998 seconds.
Elapsed time is 43.777990 seconds.
Elapsed time is 43.479331 seconds.
Elapsed time is 44.705606 seconds.
Elapsed time is 44.335994 seconds.
Elapsed time is 38.490825 seconds.
Elapsed time is 33.649085 seconds.
Elapsed time is 32.873668 seconds.
Elapsed time is 32.422780 seconds.
Elapsed time is 33.739588 seconds.
Elapsed time is 40.511097 seconds.
Elapsed time is 38.508688 seconds.
Elapsed time is 42.204691 seconds.
Elapsed time is 38.037134 seconds.
Elapsed time is 37.655147 seconds.
Elapsed time is 38.069928 seconds.
Elapsed time is 39.001852 seconds.
Elapsed time is 38.411797 seconds.
Elapsed time is 37.364276 seconds.
Elapsed time is 36.162418 seconds.
Elapsed time is 38.424721 seconds.
Elapsed time is 39.430074 seconds.
Elapsed time is 38.799084 seconds.
Elapsed time is 40.674713 seconds.
Elapsed time is 40.152533 seconds.
Elapsed time is 39.202636 seconds.
Elapsed time is 36.558625 seconds.
Elapsed time is 38.446837 seconds.
Elapsed time is 41.655628 seconds.
Elapsed time is 41.576754 seconds.
Elapsed time is 39.611543 seconds.
Elapsed time is 45.252931 seconds.
Elapsed time is 41.538327 seconds.
Elapsed time is 42.531055 seconds.
Elapsed time is 41.185115 seconds.
Elapsed time is 39.681079 seconds.
Elapsed time is 39.796948 seconds.
Elapsed time is 38.187771 seconds.
Elapsed time is 42.087923 seconds.
Elapsed time is 39.956164 seconds.
Elapsed time is 41.029136 seconds.
Elapsed time is 38.860606 seconds.
Elapsed time is 39.744151 seconds.
     2         375         2757.64        1.31e+05       0.0001      0.0128182
Elapsed time is 41.905153 seconds.
Elapsed time is 46.271516 seconds.
Elapsed time is 47.711332 seconds.
Elapsed time is 48.267285 seconds.
Elapsed time is 47.189642 seconds.
Elapsed time is 46.286985 seconds.
Elapsed time is 47.700361 seconds.
Elapsed time is 44.381814 seconds.
Elapsed time is 42.355380 seconds.
Elapsed time is 36.055218 seconds.
Elapsed time is 38.719819 seconds.
Elapsed time is 32.481889 seconds.
Elapsed time is 33.180036 seconds.
Elapsed time is 32.489526 seconds.
Elapsed time is 36.871153 seconds.
Elapsed time is 35.462551 seconds.
Elapsed time is 30.483348 seconds.
Elapsed time is 33.368260 seconds.
Elapsed time is 35.627006 seconds.
Elapsed time is 35.077248 seconds.
Elapsed time is 38.480819 seconds.
Elapsed time is 33.259132 seconds.
Elapsed time is 37.892448 seconds.
Elapsed time is 35.189709 seconds.
Elapsed time is 32.048459 seconds.
Elapsed time is 35.395692 seconds.
Elapsed time is 39.958664 seconds.
Elapsed time is 34.595454 seconds.
Elapsed time is 36.759495 seconds.
Elapsed time is 32.622283 seconds.
Elapsed time is 38.455507 seconds.
Elapsed time is 33.476744 seconds.
Elapsed time is 32.980201 seconds.
Elapsed time is 33.409334 seconds.
Elapsed time is 35.088371 seconds.
Elapsed time is 35.552742 seconds.
Elapsed time is 36.256877 seconds.
Elapsed time is 41.229648 seconds.
Elapsed time is 39.486366 seconds.
Elapsed time is 43.078056 seconds.
Elapsed time is 45.740967 seconds.
Elapsed time is 47.383416 seconds.
Elapsed time is 46.178895 seconds.
Elapsed time is 46.395129 seconds.
Elapsed time is 44.906936 seconds.
Elapsed time is 47.286292 seconds.
Elapsed time is 45.904899 seconds.
Elapsed time is 44.971413 seconds.
Elapsed time is 42.340910 seconds.
Elapsed time is 42.200232 seconds.
Elapsed time is 44.278029 seconds.
Elapsed time is 41.930576 seconds.
Elapsed time is 40.888856 seconds.
Elapsed time is 35.304124 seconds.
Elapsed time is 37.380276 seconds.
Elapsed time is 35.925353 seconds.
Elapsed time is 38.812818 seconds.
Elapsed time is 40.708493 seconds.
Elapsed time is 37.879564 seconds.
Elapsed time is 38.767197 seconds.
Elapsed time is 36.952956 seconds.
Elapsed time is 34.124641 seconds.
Elapsed time is 42.446159 seconds.
Elapsed time is 44.202436 seconds.
Elapsed time is 46.020320 seconds.
Elapsed time is 48.048104 seconds.
Elapsed time is 45.846244 seconds.
Elapsed time is 46.166739 seconds.
Elapsed time is 45.564746 seconds.
Elapsed time is 46.405568 seconds.
Elapsed time is 43.281476 seconds.
Elapsed time is 45.111979 seconds.
Elapsed time is 44.837371 seconds.
Elapsed time is 44.981963 seconds.
Elapsed time is 41.885143 seconds.
Elapsed time is 39.086220 seconds.
Elapsed time is 40.356533 seconds.
Elapsed time is 43.717599 seconds.
Elapsed time is 39.942533 seconds.
Elapsed time is 42.899599 seconds.
Elapsed time is 43.560318 seconds.
Elapsed time is 38.826528 seconds.
Elapsed time is 37.041841 seconds.
Elapsed time is 42.301873 seconds.
Elapsed time is 37.903233 seconds.
Elapsed time is 36.905561 seconds.
Elapsed time is 39.876813 seconds.
Elapsed time is 33.190275 seconds.
Elapsed time is 34.051804 seconds.
Elapsed time is 38.336269 seconds.
Elapsed time is 41.984726 seconds.
Elapsed time is 40.928073 seconds.
Elapsed time is 40.871587 seconds.
Elapsed time is 45.688399 seconds.
Elapsed time is 46.078495 seconds.
Elapsed time is 41.037010 seconds.
Elapsed time is 45.392480 seconds.
Elapsed time is 42.511544 seconds.
Elapsed time is 42.520626 seconds.
Elapsed time is 43.420669 seconds.
Elapsed time is 39.010873 seconds.
Elapsed time is 42.489049 seconds.
Elapsed time is 40.648827 seconds.
Elapsed time is 42.061773 seconds.
Elapsed time is 42.293533 seconds.
Elapsed time is 42.724769 seconds.
Elapsed time is 42.019320 seconds.
Elapsed time is 40.627956 seconds.
Elapsed time is 39.514804 seconds.
Elapsed time is 39.776085 seconds.
Elapsed time is 43.902627 seconds.
Elapsed time is 46.984506 seconds.
Elapsed time is 47.430186 seconds.
Elapsed time is 48.132754 seconds.
Elapsed time is 46.025187 seconds.
Elapsed time is 44.313231 seconds.
Elapsed time is 43.638599 seconds.
Elapsed time is 41.724286 seconds.
Elapsed time is 43.718646 seconds.
Elapsed time is 36.673417 seconds.
Elapsed time is 38.300897 seconds.
Elapsed time is 42.393139 seconds.
Elapsed time is 40.623075 seconds.
Elapsed time is 42.563977 seconds.
Elapsed time is 36.920838 seconds.
Elapsed time is 39.748105 seconds.
Elapsed time is 40.335993 seconds.
     3         502         2665.18        7.44e+05         0.01      0.0133772
Elapsed time is 46.674488 seconds.
Elapsed time is 44.428577 seconds.
Elapsed time is 46.781551 seconds.
Elapsed time is 47.494876 seconds.
Elapsed time is 45.127873 seconds.
Elapsed time is 43.545513 seconds.
Elapsed time is 40.688420 seconds.
Elapsed time is 42.567892 seconds.
Elapsed time is 40.174151 seconds.
Elapsed time is 38.449770 seconds.
Elapsed time is 38.244489 seconds.
Elapsed time is 41.421351 seconds.
Elapsed time is 44.558731 seconds.
Elapsed time is 43.638037 seconds.
Elapsed time is 41.924500 seconds.
Elapsed time is 40.384939 seconds.
Elapsed time is 39.483425 seconds.
Elapsed time is 43.969548 seconds.
Elapsed time is 46.045948 seconds.
Elapsed time is 42.739677 seconds.
Elapsed time is 43.540017 seconds.
Elapsed time is 40.008044 seconds.
Elapsed time is 36.320174 seconds.
Elapsed time is 36.151992 seconds.
Elapsed time is 36.738723 seconds.
Elapsed time is 37.062472 seconds.
Elapsed time is 39.234021 seconds.
Elapsed time is 39.253079 seconds.
Elapsed time is 37.681289 seconds.
Elapsed time is 38.094942 seconds.
Elapsed time is 34.605143 seconds.
Elapsed time is 36.453996 seconds.
Elapsed time is 34.746429 seconds.
Elapsed time is 31.822758 seconds.
Elapsed time is 38.667615 seconds.
Elapsed time is 39.845277 seconds.
Elapsed time is 40.453887 seconds.
Elapsed time is 41.069332 seconds.
Elapsed time is 41.355736 seconds.
Elapsed time is 40.850944 seconds.
Elapsed time is 41.926383 seconds.
Elapsed time is 39.901521 seconds.
Elapsed time is 44.752954 seconds.
Elapsed time is 44.379845 seconds.
Elapsed time is 41.265528 seconds.
Elapsed time is 43.085619 seconds.
Elapsed time is 47.171455 seconds.
Elapsed time is 46.430271 seconds.
Elapsed time is 45.100416 seconds.
Elapsed time is 44.272406 seconds.
Elapsed time is 43.445906 seconds.
Elapsed time is 41.260175 seconds.
Elapsed time is 44.393166 seconds.
Elapsed time is 44.529378 seconds.
Elapsed time is 41.618392 seconds.
Elapsed time is 39.878475 seconds.
Elapsed time is 45.142630 seconds.
Elapsed time is 45.467223 seconds.
Elapsed time is 41.533618 seconds.
Elapsed time is 42.478566 seconds.
Elapsed time is 43.520126 seconds.
Elapsed time is 43.509184 seconds.
Elapsed time is 45.020456 seconds.
Elapsed time is 47.539034 seconds.
Elapsed time is 45.375800 seconds.
Elapsed time is 47.906616 seconds.
Elapsed time is 46.358290 seconds.
Elapsed time is 45.976539 seconds.
Elapsed time is 46.856660 seconds.
Elapsed time is 46.317861 seconds.
Elapsed time is 46.916866 seconds.
Elapsed time is 47.827571 seconds.
Elapsed time is 47.158294 seconds.
Elapsed time is 46.329906 seconds.
Elapsed time is 45.821019 seconds.
Elapsed time is 47.652613 seconds.
Elapsed time is 46.758255 seconds.
Elapsed time is 48.100920 seconds.
Elapsed time is 47.837467 seconds.
Elapsed time is 46.978191 seconds.
Elapsed time is 45.955080 seconds.
Elapsed time is 47.069032 seconds.
Elapsed time is 45.945280 seconds.
Elapsed time is 43.674271 seconds.
Elapsed time is 39.111408 seconds.
Elapsed time is 38.550346 seconds.
Elapsed time is 33.548037 seconds.
